"Dairiten_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DaihyoDairi_CD","Dairiten_NG","Blockdairi_CD","IchijiDairi_CD","SalsTokei_KBN","SitnDirtn_FLG","DaiSeisak_KBN","PrintI_CTL","PrintYK_CTL","Keikakutani_FLG","DairitenKenkei_KBN","RyutuBuin_CD","Kurini_FLG"
"08010","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 12:00:53","PVU_EX_1400","itg43581","04/15/2024 12:00:53","PVU_EX_1400","23048","（株）スズケン茨城営業部","08010","","1","1","3","202","","1","","ecl07316","1"
"08021","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg45886","04/03/2025 08:53:54","PVU_EX_1400","itg45886","04/03/2025 08:53:54","PVU_EX_1400","13159","メディセオ北関東統括営業部","08021","","1","1","3","105","005","1","","ecl07316","1"
"08095","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 12:05:02","PVU_EX_1400","itg43581","04/15/2024 12:05:02","PVU_EX_1400","13015","東邦薬品（株）茨城営業部","","","3","3","3","203","","1","","ecl07316","1"
"08504","04/01/2026 00:00:00","12/31/9999 00:00:00","0","itg37786","02/16/2026 16:49:30","PVU_EX_1400","itg37786","02/16/2026 16:49:30","PVU_EX_1400","13148","アルフレッサ北関東甲信越","","","1","1","3","201","","5","","ecl07316","1"
"08888","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","","茨城の代理店","","","","","3","","","","","","0"
"08889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","","茨城の代理店","","","","","3","","","","","","0"
"09003","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 12:07:06","PVU_EX_1400","itg43581","04/15/2024 12:07:06","PVU_EX_1400","09003","ナカノ薬品（株）","09003","","1","1","1","102","","1","","ecl07316","1"
"09012","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 12:07:42","PVU_EX_1400","itg43581","04/15/2024 12:07:42","PVU_EX_1400","04041","（株）バイタルネット栃木","","","1","3","3","104","","5","","ecl07316","1"
"09013","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 13:15:36","PVU_EX_1400","itg43581","04/15/2024 13:15:36","PVU_EX_1400","13015","東邦薬品（株）栃木営業部","","","1","3","3","103","004","1","","ecl07316","1"
"09015","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 13:16:01","PVU_EX_1400","itg43581","04/15/2024 13:16:01","PVU_EX_1400","13148","アルフレッサ（株）栃木","","","1","1","3","101","","5","","ecl07316","1"
"09016","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 13:16:29","PVU_EX_1400","itg43581","04/15/2024 13:16:29","PVU_EX_1400","13015","東邦薬品（株）薬粧事業部","","","1","","3","995","004","","","ecl07316","0"
"09888","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","","栃木の代理店","","","","","3","","","","","","0"
"09889","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecld0913","03/29/2018 18:50:00","803001","ecld0913","03/29/2018 18:50:00","803001","","栃木の代理店","","","","","3","","","","","","0"
"10002","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg04213","10/16/2024 11:40:47","PVU_EX_1400","itg04213","10/16/2024 11:40:47","PVU_EX_1400","13015","東邦薬品（株）群馬営業部","","","1","1","3","303","","1","","ecl09214","1"
"10008","10/10/2019 00:00:00","12/31/9999 00:00:00","0","itg40916","02/08/2019 09:36:03","PVU_EX_1400","itg40916","02/08/2019 09:36:03","PVU_EX_1400","","（株）Ｐａｌｔａｃ春日部","","","","","3","","","","","","0"
"10009","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg04213","10/16/2024 11:41:24","PVU_EX_1400","itg04213","10/16/2024 11:41:24","PVU_EX_1400","23048","（株）スズケン群馬営業部","08010","","1","1","3","302","","1","","ecl09214","1"
"10018","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg04213","10/16/2024 11:41:55","PVU_EX_1400","itg04213","10/16/2024 11:41:55","PVU_EX_1400","13148","アルフレッサ（株）群馬","","","1","3","3","301","","5","","ecl09214","1"
"10022","10/09/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","10/09/2020 13:15:48","PVU_EX_1400","itg04213","10/09/2020 13:15:48","PVU_EX_1400","27803","（株）ＰＡＬＴＡＣ東京第二","10023","","2","","3","","","","","","0"
"10023","10/09/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","10/09/2020 13:16:23","PVU_EX_1400","itg04213","10/09/2020 13:16:23","PVU_EX_1400","27803","（株）ＰＡＬＴＡＣ東京第二","10023","","2","","3","","","","","","0"
"10024","11/01/2016 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","10024","（株）須江薬品","","","1","","3","304","","1","","","1"
"10888","01/01/2000 00:00:00","12/31/9999 00:00:00","0","ecl04742","03/29/2018 18:50:00","803001","ecl04742","03/29/2018 18:50:00","803001","","群馬の代理店","","","","","3","","","","","","0"
