"EisaiTokuisaki_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Jikeihinmoku_EGR","Target_CD"
"1935","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"1945","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"1960","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"1963","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"1983","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"1984","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"1995","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2000","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2031","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2065","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2075","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2090","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2108","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2124","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2125","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2130","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2135","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2141","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2146","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2150","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2165","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2177","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2209","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2221","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2223","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2265","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2266","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"2271","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
