"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","KangoShubetsu_KBN","KangoShubetsu_CD","Meisho","Ryakusho"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C381","一般病棟Ⅰ群入院基本料３　１５：１看護補助　看配","一Ⅰ入３補１５看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C382","一般病棟Ⅰ群入院基本料３　１５：１看護補助","一Ⅰ入３補１５"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C383","一般病棟Ⅰ群入院基本料３　１５：１看護補助　減算","一Ⅰ入３補１５減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C401","一般病棟Ⅰ群入院基本料４　看配","一Ⅰ入４看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C402","一般病棟Ⅰ群入院基本料４","一Ⅰ入４"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C403","一般病棟Ⅰ群入院基本料４　減算","一Ⅰ入４減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C431","一般病棟Ⅰ群入院基本料４　５：１看護補助　看配","一Ⅰ入４補５看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C432","一般病棟Ⅰ群入院基本料４　５：１看護補助","一Ⅰ入４補５"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C433","一般病棟Ⅰ群入院基本料４　５：１看護補助　減算","一Ⅰ入４補５減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C441","一般病棟Ⅰ群入院基本料４　６：１看護補助　看配","一Ⅰ入４補６看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C442","一般病棟Ⅰ群入院基本料４　６：１看護補助","一Ⅰ入４補６"
