"EisaiOroshi_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Oroshi_KJ","OroshiSoshikiCode_LEN","OroshiSoshikiCode_E_LEN","OroshiSoshikiCode_PTN","OroshiKaiso_PTN","DaihyoDairiten_CD","JD_NET_FLG","PLANET_FLG","KobetsuNET_FLG","Medicode_FLG","Kain_ID_Prefix","NnskCyofuku_LVL"
"56","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","（株）スズケン沖縄薬品","9","3","789","333","47001","1","0","0","1","MM","0"
"57","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","東京の代理店１","9","9","123456789","9","13889","0","0","0","0","MM","0"
"58","05/24/2021 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","itg04213","05/24/2021 00:00:00","Tenyuryoku","北海道の代理店","9","9","123456789","9","01889","0","0","0","0","MM","1"
"59","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","（株）佐藤薬局","9","9","123456789","9","03010","0","0","0","0","MM","0"
"60","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","埼玉の代理店（アイン）","9","9","123456789","9","11889","0","0","0","0","MM","1"
"61","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","自衛隊本部","9","9","123456789","9","13777","0","0","0","0","MM","1"
"62","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","東京の代理店２","9","9","123456789","9","13888","0","0","0","0","MM","0"
"63","07/17/2014 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","IPS00011","07/16/2014 00:00:00","IPSPATCH","架空の代表代理店１","10","10","123456789a","a","11111","0","0","0","0","MM","1"
"64","10/27/2014 00:00:00","12/31/9999 00:00:00","0","0","0","ips00023","10/24/2014 00:00:00","IPSPATCH","ips00023","10/24/2014 00:00:00","IPSPATCH","ＤＣＢ販路統計代理店","8","8","12345678","8","13990","0","0","0","0","MM","1"
"65","12/10/2015 00:00:00","12/31/9999 00:00:00","0","0","0","ips00023","12/10/2015 00:00:00","IPSPATCH","ips00023","12/10/2015 00:00:00","IPSPATCH","大阪の代理店","9","9","123456789","9","27889","0","0","0","0","MM","0"
