"corporation_cd","product_cd","start_date","end_date","locale_id","pre_product_cd","std_manufacuturing_cost","remark","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"1000","179009","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","4141.800",,"0","im_job","01/26/2024 19:34:11","im_job","01/24/2025 20:09:06"
"1000","179009","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","4832.000",,"0","im_job","01/24/2025 20:09:05","im_job","01/26/2026 20:13:19"
"1000","179009","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","4833.000",,"0","im_job","01/26/2026 20:13:19","im_job","04/01/2026 20:02:07"
"1000","179016","07/01/2019 00:00:00","03/31/2020 00:00:00","ja","","2358.000",,"0","im_job","07/03/2019 20:01:10","im_job","02/13/2020 20:24:19"
"1000","179016","04/01/2020 00:00:00","03/31/2022 00:00:00","ja","","2368.000",,"0","im_job","02/13/2020 20:24:19","im_job","02/10/2022 20:16:51"
"1000","179016","04/01/2022 00:00:00","03/31/2023 00:00:00","ja","","2300.000",,"0","im_job","02/10/2022 20:16:51","im_job","02/13/2023 20:19:15"
"1000","179016","04/01/2023 00:00:00","03/31/2024 00:00:00","ja","","2368.000",,"0","im_job","02/13/2023 20:19:15","im_job","01/26/2024 19:34:12"
"1000","179016","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","2401.000",,"0","im_job","01/26/2024 19:34:11","im_job","01/24/2025 20:09:06"
"1000","179016","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","2572.000",,"0","im_job","01/24/2025 20:09:06","im_job","01/26/2026 20:13:19"
"1000","179016","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","2573.000",,"0","im_job","01/26/2026 20:13:19","im_job","04/01/2026 20:02:07"
"1000","179023","06/01/2019 00:00:00","12/31/2999 00:00:00","ja","","454.000",,"0","im_job","06/25/2019 20:01:37","im_job","06/25/2019 20:01:37"
"1000","179030","09/01/2019 00:00:00","03/31/2024 00:00:00","ja","","42.800",,"0","im_job","09/26/2019 20:01:48","im_job","01/26/2024 19:34:12"
