"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","Todofuken_CD","Shusei_KBN","Maintenance_DT","Tenso_DT","IryokenMaintenace_DT","Koji_DT","Seishin_KijunByosho","Seishin_KizonByosho","Seishin_Kizon_DT","Seishin_Kafusokusu","Kekkaku_KijunByosho","Kekkaku_KizonByosho","Kekkaku_Kizon_DT","Kekkaku_Kafusokusu","Kansen_KijunByosho","Kansen_KizonByosho","Kansen_Kizon_DT","Kansen_Kafusokusu"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","14","B","20130422","20130423","20130501","20130329","12958","13889","20120331","931","166","166","20120331","0","74","74","20120331","0"
"04/24/2013 00:00:00","11/27/2017 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","11/28/2017 00:00:00","PVS_XP_2060","121","08","B","20130422","20130423","20130501","20130402","5770","7444","20130201","1674","60","128","20130201","68","48","48","20130201","0"
"04/24/2013 00:00:00","12/24/2015 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","12/25/2015 00:00:00","PVS_XP_2060","121","05","B","20130422","20130423","20130501","20130329","3839","4152","20120331","313","38","58","20120331","20","36","30","20120331","-6"
"04/24/2013 00:00:00","12/24/2015 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","12/25/2015 00:00:00","PVS_XP_2060","121","11","B","20130422","20130423","20130501","20130329","13345","14495","20120331","1150","137","191","20120331","54","85","40","20120331","-45"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","15","B","20130422","20130423","20130501","20130405","6490","6850","20121001","360","41","100","20121001","59","36","36","20121001","0"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","17","B","20130422","20130423","20130501","20130401","3656","3816","20130331","160","62","92","20130331","30","18","18","20130331","0"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","19","B","20130422","20130423","20130501","20130328","2345","2468","20130131","123","20","50","20130131","30","20","28","20130131","8"
"04/24/2013 00:00:00","07/26/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","07/27/2018 00:00:00","PVS_XP_2060","121","16","B","20130422","20130423","20130501","20130329","3080","3365","20130331","285","82","86","20130331","4","20","20","20130331","0"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","21","B","20130422","20130423","20130501","20130329","3294","4118","20120930","824","95","137","20120930","42","30","30","20120930","0"
"04/24/2013 00:00:00","07/26/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","07/27/2018 00:00:00","PVS_XP_2060","121","18","B","20130422","20130423","20130501","20130329","2116","2342","20121001","226","22","48","20121001","26","20","20","20121001","0"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","24","B","20130422","20130423","20130501","20130329","4120","4786","20121201","666","60","54","20121201","-6","24","24","20121201","0"
"04/24/2013 00:00:00","11/27/2017 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","11/28/2017 00:00:00","PVS_XP_2060","121","20","B","20130422","20130423","20130501","20130328","4861","5000","20120901","139","42","74","20120901","32","46","46","20120901","0"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","25","B","20130422","20130423","20130501","20130401","2345","2373","20120401","28","73","77","20120401","4","34","32","20120401","-2"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","26","B","20130422","20130423","20130501","20130402","5728","6376","20121201","648","300","300","20121201","0","38","38","20121201","0"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","27","B","20130422","20130423","20130501","20130403","18318","19025","20121001","707","514","577","20121001","63","78","78","20121001","0"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","29","B","20130422","20130423","20130501","20130329","2800","2863","20130401","63","50","60","20130401","10","28","13","20130401","-15"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","36","B","20130422","20130423","20130501","20130409","2772","3928","20120331","1156","37","49","20120331","12","16","16","20120331","0"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","38","B","20130422","20130423","20130501","20130405","4569","5160","20130131","591","54","153","20130131","99","28","26","20130131","-2"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","39","B","20130422","20130423","20130501","20130329","2493","3721","20121130","1228","60","170","20121130","110","11","11","20121130","0"
"04/24/2013 00:00:00","11/27/2017 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","11/28/2017 00:00:00","PVS_XP_2060","121","37","B","20130422","20130423","20130501","20130329","2943","3459","20130331","516","35","123","20130331","88","24","18","20130331","-6"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","41","B","20130422","20130423","20130501","20130401","4090","4239","20121231","149","30","30","20121231","0","24","22","20121231","-2"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","42","B","20130422","20130423","20130501","20130409","6844","7955","20120930","1111","70","143","20120930","73","38","38","20120930","0"
"04/24/2013 00:00:00","12/24/2015 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","12/25/2015 00:00:00","PVS_XP_2060","121","40","B","20130422","20130423","20130501","20130329","18469","21436","20120801","2967","191","312","20120801","121","66","56","20120801","-10"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","43","B","20130422","20130423","20130501","20130402","7522","8931","20121001","1409","54","231","20121001","177","48","48","20121001","0"
"04/24/2013 00:00:00","05/29/2018 00:00:00","False","Batch","04/23/2013 18:40:27","BATCH","05/30/2018 00:00:00","PVS_XP_2060","121","44","B","20130422","20130423","20130501","20130331","4693","5247","20130101","554","38","50","20130101","12","28","40","20130101","12"
