"EisaiOroshiSoshiki_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","OroshiSoshikiCode_ECONV","EisaiShishoka_ID","Data_Status"
"56","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","2029","630","0"
"57","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"58","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","2300","574","0"
"59","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","2309","574","0"
"60","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"61","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","2601","603","0"
"62","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","2602","603","0"
"63","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","2609","603","0"
"64","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"65","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","2801","624","0"
"66","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","2802","624","0"
"67","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","2809","624","0"
"68","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"69","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","3000","614","0"
"70","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","3009","614","0"
"71","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
