"corporation_cd","policy_div","start_date","end_date","locale_id","policy_div_name","remark","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"1000","0210","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","安定品Ｂ","","0","ecl60089","12/08/2025 00:00:00","ecl60089","12/08/2025 00:00:00"
"1000","0211","04/01/2022 00:00:00","03/31/2024 00:00:00","ja","ジェネリック品","","0","ecl97916","11/30/2021 00:00:00","ecl97916","11/30/2021 00:00:00"
"1000","0211","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","安定品Ｒ","","0","ecl60089","12/08/2025 00:00:00","ecl60089","12/08/2025 00:00:00"
"1000","0212","04/01/2022 00:00:00","03/31/2024 00:00:00","ja","ＥＥ品","","0","ecl97916","11/30/2021 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0212","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","ＯＮＣ戦略品","","0","ecl97916","01/31/2024 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0214","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","ＯＮＣ品","","0","ecl97916","01/31/2024 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0216","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","ＩＭ戦略品","","0","ecl97916","01/31/2024 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0218","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","ＩＭ品","","0","ecl97916","01/31/2024 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0220","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","値引品","","0","ecl97916","01/31/2024 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0222","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","ＥＡ品","","0","ecl97916","01/31/2024 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0224","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","診断薬","","0","ecl97916","01/31/2024 00:00:00","ecl97916","01/31/2024 00:00:00"
"1000","0292","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","ジェネリック品","","0","ecl97916","11/30/2021 00:00:00","ecl97916","02/19/2024 00:00:00"
"1000","0294","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","ＥＥ品","","0","ecl97916","11/30/2021 00:00:00","ecl97916","02/19/2024 00:00:00"
"1000","0296","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","その他","","0","ecl98821","02/29/2024 00:00:00","ecl98821","02/29/2024 00:00:00"
"1000","0300","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","診　戦略品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0300","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","診　戦略品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0304","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","診断安定品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0304","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","診断安定品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0305","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","診断薬中堅品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0305","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","診断薬中堅品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0307","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","診断薬ＲＶ","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0307","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","診断薬ＲＶ","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0308","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","診断薬輸出","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0308","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","診断薬輸出","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0309","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","診断薬値引品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0309","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","診断薬値引品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0401","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","受託食添・食材","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0401","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","受託食添・食材","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0402","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","食品化学天然Ｅ","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0402","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","食品化学天然Ｅ","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0403","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","受託化学品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0403","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","受託化学品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0405","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","受託　その他","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0405","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","受託　その他","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0406","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","ＡＰＩ－Ｓ","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0406","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","ＡＰＩ－Ｓ","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0407","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","輸出","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0407","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","輸出","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
