"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","Record_ID","Shisetsu_CD","Shisetsu_CD_Yobi","Shusei_KBN","TankiTaizai_CD","AddDelete_KBN","Maintenance_DT","Tenso_DT"
"02/18/2013 00:00:00","04/17/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","04/18/2016 00:00:00","PVS_XP_2056","135","00","7302529","","A","209","2","20130215","20130218"
"02/18/2013 00:00:00","04/17/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","04/18/2016 00:00:00","PVS_XP_2056","135","00","7302529","","A","210","2","20130215","20130218"
"02/18/2013 00:00:00","04/17/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","04/18/2016 00:00:00","PVS_XP_2056","135","00","7302529","","A","211","2","20130215","20130218"
"02/18/2013 00:00:00","04/17/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","04/18/2016 00:00:00","PVS_XP_2056","135","00","7302529","","A","212","2","20130215","20130218"
"02/18/2013 00:00:00","02/17/2019 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/18/2019 00:00:00","PVS_XP_2056","135","00","8101145","","A","203","2","20130215","20130218"
"02/18/2013 00:00:00","05/07/2013 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","05/08/2013 00:00:00","PVS_XP_2056","135","00","7301330","","A","201","2","20130215","20130218"
"02/18/2013 00:00:00","02/20/2022 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/21/2022 00:00:00","PVS_XP_2056","135","00","8101253","","A","201","2","20130215","20130218"
"02/18/2013 00:00:00","02/20/2022 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/21/2022 00:00:00","PVS_XP_2056","135","00","8101253","","A","203","2","20130215","20130218"
"02/18/2013 00:00:00","04/17/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","04/18/2016 00:00:00","PVS_XP_2056","135","00","7302529","","A","213","2","20130215","20130218"
"02/18/2013 00:00:00","04/17/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","04/18/2016 00:00:00","PVS_XP_2056","135","00","7302529","","A","215","2","20130215","20130218"
"02/18/2013 00:00:00","04/17/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","04/18/2016 00:00:00","PVS_XP_2056","135","00","7302662","","A","101","2","20130215","20130218"
"02/18/2013 00:00:00","02/20/2022 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/21/2022 00:00:00","PVS_XP_2056","135","00","8101253","","A","210","2","20130215","20130218"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/18/2013 00:00:00","PVS_XP_2056","135","00","7302529","","A","111","2","20130215","20130218"
"02/18/2013 00:00:00","04/17/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","04/18/2016 00:00:00","PVS_XP_2056","135","00","7302662","","A","104","2","20130215","20130218"
"02/18/2013 00:00:00","04/17/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","04/18/2016 00:00:00","PVS_XP_2056","135","00","7302662","","A","110","2","20130215","20130218"
"02/18/2013 00:00:00","04/17/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","04/18/2016 00:00:00","PVS_XP_2056","135","00","7302662","","A","111","2","20130215","20130218"
"02/18/2013 00:00:00","02/17/2019 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","02/18/2019 00:00:00","PVS_XP_2056","135","00","8101145","","A","205","2","20130215","20130218"
"02/18/2013 00:00:00","04/17/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","04/18/2016 00:00:00","PVS_XP_2056","135","00","7300047","","A","110","2","20130215","20130218"
"02/18/2013 00:00:00","04/17/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","04/18/2016 00:00:00","PVS_XP_2056","135","00","7300047","","A","111","2","20130215","20130218"
"02/18/2013 00:00:00","04/17/2016 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","04/18/2016 00:00:00","PVS_XP_2056","135","00","7300054","","A","101","2","20130215","20130218"
