"DairitenTK_CD","Corp_ID","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","RyutsuSoshiki_CD","RyutsuBuin_CD","SalsTokei_KBN","Hosho_FLG","DairitenTokeiShitei_FLG"
"02018","ECL","04/15/2019 00:00:00","10/12/2022 00:00:00","0","itg04213","04/15/2019 11:55:02","PVU_EX_1400","itg04213","04/15/2019 11:55:02","PVU_EX_1400","48","05120","3","1","3"
"15002","ECL","04/15/2019 00:00:00","10/15/2024 00:00:00","0","itg04213","04/15/2019 11:58:53","PVU_EX_1400","itg04213","04/15/2019 11:58:53","PVU_EX_1400","51","06196","3","1","3"
"12001","ECL","04/15/2019 00:00:00","04/14/2021 00:00:00","0","itg04213","04/15/2019 11:59:52","PVU_EX_1400","itg04213","04/15/2019 11:59:52","PVU_EX_1400","51","05111","1","1","3"
"12008","ECL","04/15/2019 00:00:00","04/14/2021 00:00:00","0","itg04213","04/15/2019 12:36:28","PVU_EX_1400","itg04213","04/15/2019 12:36:28","PVU_EX_1400","51","05111","1","1","3"
"26024","ECL","04/15/2019 00:00:00","04/14/2020 00:00:00","0","itg04213","04/15/2019 12:41:22","PVU_EX_1400","itg04213","04/15/2019 12:41:22","PVU_EX_1400","52","06720","1","1","3"
"43001","ECL","04/15/2019 00:00:00","04/15/2025 00:00:00","0","itg04213","04/15/2019 12:44:23","PVU_EX_1400","itg04213","04/15/2019 12:44:23","PVU_EX_1400","55","09586","1","1","3"
"45017","ECL","04/15/2019 00:00:00","10/08/2020 00:00:00","0","itg04213","04/15/2019 12:44:49","PVU_EX_1400","itg04213","04/15/2019 12:44:49","PVU_EX_1400","55","06538","","0",""
"23052","ECL","04/15/2019 00:00:00","04/14/2024 00:00:00","0","itg04213","04/15/2019 12:59:49","PVU_EX_1400","itg04213","04/15/2019 12:59:49","PVU_EX_1400","52","07689","1","1","3"
"24012","ECL","04/15/2019 00:00:00","04/14/2024 00:00:00","0","itg04213","04/15/2019 13:00:14","PVU_EX_1400","itg04213","04/15/2019 13:00:14","PVU_EX_1400","52","07689","1","1","3"
"28008","ECL","04/15/2019 00:00:00","10/09/2019 00:00:00","0","itg04213","04/15/2019 13:01:26","PVU_EX_1400","itg04213","04/15/2019 13:01:26","PVU_EX_1400","52","04313","1","1","3"
"47007","ECL","04/15/2019 00:00:00","04/14/2024 00:00:00","0","itg04213","04/15/2019 13:02:25","PVU_EX_1400","itg04213","04/15/2019 13:02:25","PVU_EX_1400","55","06770","","1",""
"13099","ECL","04/15/2019 00:00:00","10/09/2019 00:00:00","0","itg04213","04/15/2019 13:03:34","PVU_EX_1400","itg04213","04/15/2019 13:03:34","PVU_EX_1400","51","05711","1","1","3"
"15003","ECL","04/15/2019 00:00:00","10/15/2024 00:00:00","0","itg04213","04/15/2019 13:04:24","PVU_EX_1400","itg04213","04/15/2019 13:04:24","PVU_EX_1400","51","06196","3","1","3"
"15022","ECL","04/15/2019 00:00:00","10/08/2020 00:00:00","0","itg04213","04/15/2019 13:05:12","PVU_EX_1400","itg04213","04/15/2019 13:05:12","PVU_EX_1400","51","06196","3","1","3"
"23002","ECL","04/15/2019 00:00:00","04/14/2024 00:00:00","0","itg04213","04/15/2019 13:05:57","PVU_EX_1400","itg04213","04/15/2019 13:05:57","PVU_EX_1400","52","07689","3","1","3"
"03005","ECL","04/15/2019 00:00:00","10/12/2022 00:00:00","0","itg04213","04/15/2019 13:07:07","PVU_EX_1400","itg04213","04/15/2019 13:07:07","PVU_EX_1400","48","05120","1","1","3"
"05013","ECL","04/15/2019 00:00:00","10/12/2022 00:00:00","0","itg04213","04/15/2019 13:07:31","PVU_EX_1400","itg04213","04/15/2019 13:07:31","PVU_EX_1400","48","05120","1","1","3"
"13163","ECL","04/15/2019 00:00:00","10/09/2019 00:00:00","0","itg04213","04/15/2019 13:09:44","PVU_EX_1400","itg04213","04/15/2019 13:09:44","PVU_EX_1400","51","05711","1","1","1"
"13164","ECL","04/15/2019 00:00:00","10/09/2019 00:00:00","0","itg04213","04/15/2019 13:10:08","PVU_EX_1400","itg04213","04/15/2019 13:10:08","PVU_EX_1400","51","05711","1","1","1"
"25002","ECL","04/15/2019 00:00:00","04/14/2020 00:00:00","0","itg04213","04/15/2019 13:15:51","PVU_EX_1400","itg04213","04/15/2019 13:15:51","PVU_EX_1400","52","06720","1","1","1"
"26011","ECL","04/15/2019 00:00:00","04/14/2020 00:00:00","0","itg04213","04/15/2019 13:17:53","PVU_EX_1400","itg04213","04/15/2019 13:17:53","PVU_EX_1400","52","06720","1","1","1"
"26014","ECL","04/15/2019 00:00:00","04/14/2020 00:00:00","0","itg04213","04/15/2019 13:19:54","PVU_EX_1400","itg04213","04/15/2019 13:19:54","PVU_EX_1400","52","06720","3","1","3"
"28023","ECL","04/15/2019 00:00:00","10/09/2019 00:00:00","0","itg04213","04/15/2019 13:20:20","PVU_EX_1400","itg04213","04/15/2019 13:20:20","PVU_EX_1400","52","09776","3","1","3"
"01051","ECL","04/15/2019 00:00:00","10/09/2019 00:00:00","0","itg04213","04/15/2019 13:21:13","PVU_EX_1400","itg04213","04/15/2019 13:21:13","PVU_EX_1400","48","07086","1","1","1"
"04048","ECL","04/15/2019 00:00:00","12/31/9999 00:00:00","0","itg04213","04/15/2019 13:24:53","PVU_EX_1400","itg04213","04/15/2019 13:24:53","PVU_EX_1400","48","","1","1","1"
"05017","ECL","04/15/2019 00:00:00","12/31/9999 00:00:00","0","itg04213","04/15/2019 13:25:58","PVU_EX_1400","itg04213","04/15/2019 13:25:58","PVU_EX_1400","48","","1","1","1"
"12037","ECL","04/15/2019 00:00:00","04/14/2021 00:00:00","0","itg04213","04/15/2019 13:27:24","PVU_EX_1400","itg04213","04/15/2019 13:27:24","PVU_EX_1400","51","05111","1","1","1"
"28036","ECL","04/15/2019 00:00:00","10/09/2019 00:00:00","0","itg04213","04/15/2019 13:32:49","PVU_EX_1400","itg04213","04/15/2019 13:32:49","PVU_EX_1400","52","04313","1","1","1"
"40026","ECL","04/15/2019 00:00:00","04/15/2025 00:00:00","0","itg04213","04/15/2019 13:33:20","PVU_EX_1400","itg04213","04/15/2019 13:33:20","PVU_EX_1400","55","09586","1","1","1"
"41002","ECL","04/15/2019 00:00:00","04/15/2025 00:00:00","0","itg04213","04/15/2019 13:34:16","PVU_EX_1400","itg04213","04/15/2019 13:34:16","PVU_EX_1400","55","09586","1","1","1"
"43004","ECL","04/15/2019 00:00:00","04/14/2020 00:00:00","0","itg04213","04/15/2019 13:34:51","PVU_EX_1400","itg04213","04/15/2019 13:34:51","PVU_EX_1400","55","07837","1","1","1"
"45002","ECL","04/15/2019 00:00:00","04/14/2020 00:00:00","0","itg04213","04/15/2019 13:35:20","PVU_EX_1400","itg04213","04/15/2019 13:35:20","PVU_EX_1400","55","06538","1","1","1"
"47010","ECL","04/15/2019 00:00:00","04/14/2024 00:00:00","0","itg04213","04/15/2019 13:35:57","PVU_EX_1400","itg04213","04/15/2019 13:35:57","PVU_EX_1400","55","06770","1","1","1"
"40004","ECL","04/15/2019 00:00:00","04/15/2025 00:00:00","0","itg04213","04/15/2019 13:36:50","PVU_EX_1400","itg04213","04/15/2019 13:36:50","PVU_EX_1400","55","09586","1","1","1"
"40014","ECL","04/15/2019 00:00:00","04/15/2025 00:00:00","0","itg04213","04/15/2019 13:37:20","PVU_EX_1400","itg04213","04/15/2019 13:37:20","PVU_EX_1400","55","09586","1","1","1"
"43023","ECL","04/15/2019 00:00:00","04/14/2020 00:00:00","0","itg04213","04/15/2019 13:38:51","PVU_EX_1400","itg04213","04/15/2019 13:38:51","PVU_EX_1400","55","07837","1","1","1"
"43011","ECL","04/15/2019 00:00:00","04/14/2020 00:00:00","0","itg04213","04/15/2019 13:41:48","PVU_EX_1400","itg04213","04/15/2019 13:41:48","PVU_EX_1400","55","07837","3","1","3"
"43006","ECL","04/15/2019 00:00:00","04/14/2020 00:00:00","0","itg04213","04/15/2019 13:42:22","PVU_EX_1400","itg04213","04/15/2019 13:42:22","PVU_EX_1400","55","07837","1","1","3"
"40007","ECL","04/15/2019 00:00:00","04/07/2022 00:00:00","0","itg04213","04/15/2019 13:43:00","PVU_EX_1400","itg04213","04/15/2019 13:43:00","PVU_EX_1400","55","09586","1","1","1"
"42009","ECL","04/15/2019 00:00:00","04/15/2025 00:00:00","0","itg04213","04/15/2019 13:44:00","PVU_EX_1400","itg04213","04/15/2019 13:44:00","PVU_EX_1400","55","06052","1","1","3"
"43003","ECL","04/15/2019 00:00:00","04/14/2020 00:00:00","0","itg04213","04/15/2019 13:44:49","PVU_EX_1400","itg04213","04/15/2019 13:44:49","PVU_EX_1400","55","07837","1","1","3"
"45001","ECL","04/15/2019 00:00:00","04/14/2020 00:00:00","0","itg04213","04/15/2019 13:46:00","PVU_EX_1400","itg04213","04/15/2019 13:46:00","PVU_EX_1400","55","06538","1","1","3"
"13001","ECL","05/08/2019 00:00:00","12/31/9999 00:00:00","0","itg40916","05/08/2019 10:46:14","PVU_EX_1400","itg40916","05/08/2019 10:46:14","PVU_EX_1400","51","","","0",""
"13001","EMEC","05/08/2019 00:00:00","10/09/2019 00:00:00","0","itg40916","05/08/2019 10:46:15","PVU_EX_1400","itg40916","10/09/2019 00:00:00","H191136","24","","","0",""
"16002","ECL","05/16/2019 00:00:00","12/31/9999 00:00:00","0","itg40916","05/16/2019 15:23:28","PVU_EX_1400","itg40916","05/16/2019 15:51:54","PVU_EX_1400","52","","","0",""
"16002","EMEC","05/16/2019 00:00:00","10/09/2019 00:00:00","0","itg40916","05/16/2019 15:23:28","PVU_EX_1400","itg40916","10/09/2019 00:00:00","H191136","24","","","0",""
"27194","ECL","10/08/2019 00:00:00","10/08/2019 00:00:00","0","itg19647","10/08/2019 11:33:21","PVU_EX_1400","itg19647","10/08/2019 11:33:21","PVU_EX_1400","50","","","0",""
"27194","EMEC","10/08/2019 00:00:00","10/09/2019 00:00:00","0","itg19647","10/08/2019 11:33:21","PVU_EX_1400","itg40916","10/09/2019 00:00:00","H191136","24","","","0",""
"40001","ECL","04/24/2018 00:00:00","04/15/2025 00:00:00","0","itg04213","04/24/2018 13:48:27","PVU_EX_1400","itg04213","04/24/2018 13:48:27","PVU_EX_1400","55","06052","1","1","1"
"40003","ECL","04/24/2018 00:00:00","04/14/2020 00:00:00","0","itg04213","04/24/2018 13:49:22","PVU_EX_1400","itg04213","04/24/2018 13:49:22","PVU_EX_1400","55","07837","3","1","3"
"40026","ECL","04/24/2018 00:00:00","04/14/2019 00:00:00","0","itg04213","04/24/2018 13:50:54","PVU_EX_1400","itg04213","04/24/2018 13:50:54","PVU_EX_1400","55","06052","1","1","1"
"40061","ECL","04/24/2018 00:00:00","10/08/2020 00:00:00","0","itg04213","04/24/2018 13:51:33","PVU_EX_1400","itg04213","04/24/2018 13:51:33","PVU_EX_1400","55","06052","1","1","1"
"40005","ECL","10/02/2018 00:00:00","04/14/2020 00:00:00","0","itg04213","10/02/2018 13:48:06","PVU_EX_1400","itg04213","10/02/2018 13:48:06","PVU_EX_1400","55","06538","1","1","3"
"44001","ECL","10/02/2018 00:00:00","04/14/2019 00:00:00","0","itg04213","10/02/2018 14:11:36","PVU_EX_1400","itg04213","10/02/2018 14:11:36","PVU_EX_1400","55","06538","1","1","3"
"13078","ECL","04/15/2019 00:00:00","10/09/2019 00:00:00","0","itg04213","04/15/2019 11:58:22","PVU_EX_1400","itg04213","04/15/2019 11:58:22","PVU_EX_1400","51","05711","1","1","3"
"25008","ECL","04/15/2019 00:00:00","04/14/2020 00:00:00","0","itg04213","04/15/2019 12:41:01","PVU_EX_1400","itg04213","04/15/2019 12:41:01","PVU_EX_1400","52","06720","1","1","3"
"11009","ECL","04/15/2019 00:00:00","04/14/2020 00:00:00","0","itg04213","04/15/2019 12:54:19","PVU_EX_1400","itg04213","04/15/2019 12:54:19","PVU_EX_1400","51","06196","1","1","1"
"14005","ECL","04/15/2019 00:00:00","04/14/2020 00:00:00","0","itg04213","04/15/2019 13:11:12","PVU_EX_1400","itg04213","04/15/2019 13:11:12","PVU_EX_1400","51","05115","1","1","1"
"13193","ECL","10/09/2019 00:00:00","12/31/9999 00:00:00","0","itg36186","10/09/2019 11:22:38","PVU_EX_1400","itg36186","10/09/2019 11:22:38","PVU_EX_1400","50","05687","1","0","1"
"01001","ECL","10/10/2019 00:00:00","04/14/2020 00:00:00","0","itg40916","10/10/2019 09:34:03","PVU_EX_1400","itg40916","10/10/2019 09:34:03","PVU_EX_1400","48","06570","3","1","3"
"01029","ECL","10/10/2019 00:00:00","04/14/2020 00:00:00","0","itg40916","10/10/2019 09:37:18","PVU_EX_1400","itg40916","10/10/2019 09:37:18","PVU_EX_1400","48","06570","1","0","1"
"04051","ECL","10/10/2019 00:00:00","04/14/2024 00:00:00","0","itg40916","10/10/2019 09:44:23","PVU_EX_1400","itg40916","10/10/2019 09:44:23","PVU_EX_1400","48","08299","1","1","3"
"13017","ECL","10/10/2019 00:00:00","04/14/2024 00:00:00","0","itg40916","10/10/2019 10:52:21","PVU_EX_1400","itg40916","10/10/2019 10:52:21","PVU_EX_1400","51","10273","1","1","1"
"13078","ECL","10/10/2019 00:00:00","04/14/2024 00:00:00","0","itg40916","10/10/2019 10:53:17","PVU_EX_1400","itg40916","10/10/2019 10:53:17","PVU_EX_1400","51","10273","1","1","3"
"13099","ECL","10/10/2019 00:00:00","04/14/2024 00:00:00","0","itg40916","10/10/2019 10:55:11","PVU_EX_1400","itg40916","10/10/2019 10:55:11","PVU_EX_1400","51","10273","1","1","3"
"13164","ECL","10/10/2019 00:00:00","04/14/2024 00:00:00","0","itg40916","10/10/2019 10:57:30","PVU_EX_1400","itg40916","10/10/2019 10:57:30","PVU_EX_1400","51","10273","1","1","1"
"23100","ECL","10/10/2019 00:00:00","04/14/2021 00:00:00","0","itg40916","10/10/2019 11:07:10","PVU_EX_1400","itg40916","10/10/2019 11:07:10","PVU_EX_1400","52","07086","1","1","1"
"28022","ECL","10/10/2019 00:00:00","10/06/2021 00:00:00","0","itg40916","10/10/2019 11:12:30","PVU_EX_1400","itg40916","10/10/2019 11:12:30","PVU_EX_1400","52","05888","1","1","3"
"28023","ECL","10/10/2019 00:00:00","10/06/2021 00:00:00","0","itg40916","10/10/2019 11:13:10","PVU_EX_1400","itg40916","10/10/2019 11:13:10","PVU_EX_1400","52","05888","3","1","3"
"28037","ECL","10/10/2019 00:00:00","10/06/2021 00:00:00","0","itg40916","10/10/2019 11:14:41","PVU_EX_1400","itg40916","10/10/2019 11:14:41","PVU_EX_1400","52","05888","1","1","3"
"38010","ECL","10/10/2019 00:00:00","04/14/2021 00:00:00","0","itg40916","10/10/2019 11:17:59","PVU_EX_1400","itg40916","10/10/2019 11:17:59","PVU_EX_1400","54","06047","3","1","3"
"44001","ECL","10/10/2019 00:00:00","04/14/2020 00:00:00","0","itg40916","10/10/2019 11:20:50","PVU_EX_1400","itg40916","10/10/2019 11:20:50","PVU_EX_1400","55","06538","1","1","3"
"03002","ECL","10/10/2019 00:00:00","12/31/9999 00:00:00","0","itg40916","10/10/2019 11:24:11","PVU_EX_1400","itg40916","10/10/2019 11:24:11","PVU_EX_1400","48","","1","1","3"
"05003","ECL","10/10/2019 00:00:00","12/31/9999 00:00:00","0","itg40916","10/10/2019 11:25:39","PVU_EX_1400","itg40916","10/10/2019 11:25:39","PVU_EX_1400","48","","1","1","3"
"07020","ECL","10/10/2019 00:00:00","12/31/9999 00:00:00","0","itg40916","10/10/2019 11:26:41","PVU_EX_1400","itg40916","10/10/2019 11:26:41","PVU_EX_1400","48","","1","1","3"
"10008","ECL","10/10/2019 00:00:00","12/31/9999 00:00:00","0","itg40916","10/10/2019 11:27:39","PVU_EX_1400","itg40916","10/10/2019 11:27:39","PVU_EX_1400","51","","","0",""
"34037","ECL","10/10/2019 00:00:00","12/31/9999 00:00:00","0","itg40916","10/10/2019 11:28:45","PVU_EX_1400","itg40916","10/10/2019 11:28:45","PVU_EX_1400","54","","2","0",""
