"Joi_DairitenTK_CD","DairitenTK_Kaiso_KBN","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DairitenTokeiName_KJKC","DairitenTokeiName_KJ","DairitenTokeiName_KJR","DairitenTokeiName_KJK","DairitenTokeiName_KN","DairitenTokeiName_KNR"
"20001","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","岡野薬品（株）","岡野薬品（株）","岡野薬品","岡野","ｵｶﾉ ﾔｸﾋﾝ KK","ｵｶﾉ"
"20005","PVU_K0001","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","鍋林（株）","鍋林（株）","鍋林","鍋林","ﾅﾍﾞﾘﾝ KK","ﾅﾍﾞﾘﾝ"
"20005","PVU_K0003","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","鍋林（株）","鍋林（株）","鍋林","鍋林","ﾅﾍﾞﾘﾝ KK","ﾅﾍﾞﾘﾝ"
"20005","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","鍋林（株）","鍋林（株）","鍋林","鍋林","ﾅﾍﾞﾘﾝ KK","ﾅﾍﾞﾘﾝ"
"20017","PVU_K0001","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）アデックス","（株）アデックス","（株）アデックス","アデックス","KK.ｱﾃﾞﾂｸｽ","ｱﾃﾞﾂｸｽ"
"20017","PVU_K0003","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）アデックス","（株）アデックス","（株）アデックス","アデックス","KK.ｱﾃﾞﾂｸｽ","ｱﾃﾞﾂｸｽ"
"20017","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）アデックス","（株）アデックス","（株）アデックス","アデックス","KK.ｱﾃﾞﾂｸｽ","ｱﾃﾞﾂｸｽ"
"20022","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","甲信越支社","甲信越支社","甲信越支社","甲信","ｺｳｼﾝｴﾂｼｼﾔ","ｺｳｼﾝｴﾂｼｼﾔ"
"21002","PVU_K0003","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","アルフレッサ（株）岐阜","アルフレッサ（株）岐阜","アルフレッサ岐阜","ＡＦ岐阜","ｱﾙﾌﾚﾂｻ ｷﾞﾌ","AF ｷﾞﾌ"
"21002","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","アルフレッサ（株）岐阜","アルフレッサ（株）岐阜","アルフレッサ岐阜","ＡＦ岐阜","ｱﾙﾌﾚﾂｻ ｷﾞﾌ","AF ｷﾞﾌ"
