"KakuCorp_ID","KakuTantosha_CD","Tantosha_KBN","Corp_ID","Tantosha_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Tanto_SEQ","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT"
"ECL","71133","PVS_T0008","ECL","08187","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/05/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71133","PVS_T0008","ECL","08786","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/05/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71134","PVS_T0008","ECL","08117","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71134","PVS_T0008","ECL","08481","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71149","PVS_T0008","ECL","07663","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71149","PVS_T0008","ECL","08470","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71150","PVS_T0008","ECL","08240","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71150","PVS_T0008","ECL","08358","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71152","PVS_T0008","ECL","08187","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71152","PVS_T0008","ECL","08371","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71152","PVS_T0008","ECL","09599","12/01/2012 00:00:00","03/31/2013 00:00:00","False","3","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71153","PVS_T0008","ECL","08433","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71153","PVS_T0008","ECL","08563","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71154","PVS_T0008","ECL","07645","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71154","PVS_T0008","ECL","08837","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71154","PVS_T0008","ECL","09371","12/01/2012 00:00:00","03/31/2013 00:00:00","False","3","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71155","PVS_T0008","ECL","08191","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71155","PVS_T0008","ECL","08379","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71155","PVS_T0008","ECL","08820","12/01/2012 00:00:00","03/31/2013 00:00:00","False","3","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71155","PVS_T0008","ECL","09017","12/01/2012 00:00:00","03/31/2013 00:00:00","False","4","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71156","PVS_T0008","ECL","07972","12/01/2012 00:00:00","03/31/2013 00:00:00","False","1","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
"ECL","71156","PVS_T0008","ECL","08638","12/01/2012 00:00:00","03/31/2013 00:00:00","False","2","04291","10/01/2012 00:00:00","BATCH","03/18/2013 00:00:00","PVS_XP_2006","BATCH","03/14/2013 00:00:00"
