"JIS_Ken_CD","JIS_Shikuchoson_CD","Todofuken_KJ","Shikugun_KJ","Todofuken_KN","Shikugun_KN","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT"
"34","363","広島県","山県郡戸河内町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"34","323","広島県","佐伯郡大野町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"34","321","広島県","佐伯郡五日市町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"34","310","広島県","安芸郡江田島町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"34","309","広島県","安芸郡坂町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"34","307","広島県","安芸郡熊野町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"34","301","広島県","安芸郡安芸町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"34","201","広島県","広島市","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"33","586","岡山県","真庭郡新庄村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"33","502","岡山県","吉備郡足守町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"33","422","岡山県","都窪郡茶屋町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"33","401","岡山県","児島郡灘崎町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"33","342","岡山県","和気郡日生町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"33","201","岡山県","岡山市","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"32","527","島根県","隠岐郡知夫村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"32","523","島根県","隠岐郡五箇村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"32","521","島根県","隠岐郡西郷町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"32","421","島根県","邇摩郡温泉津町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"32","384","島根県","飯石郡頓原町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"32","382","島根県","飯石郡吉田村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"32","307","島根県","八束郡宍道町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"32","208","島根県","平田市","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"31","321","鳥取県","八頭郡郡家町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"31","301","鳥取県","岩美郡国府町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"30","426","和歌山県","東牟婁郡本宮町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"30","402","和歌山県","西牟婁郡中辺路町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"30","326","和歌山県","那賀郡岩出町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"04","548","宮城県","登米郡南方町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"16","381","富山県","射水郡小杉町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"16","362","富山県","婦負郡婦中町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"16","361","富山県","婦負郡八尾町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"16","341","富山県","下新川郡宇奈月町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"16","301","富山県","上新川郡大沢野町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"16","203","富山県","新湊市","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","586","新潟県","岩船郡粟島浦村","","","BATCH","12/27/2012 15:29:24","BATCH","12/17/2015 14:45:50","PVS_XP_2001","BATCH","12/17/2015 14:45:50"
"15","585","新潟県","岩船郡山北町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","584","新潟県","岩船郡朝日村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","562","新潟県","西頸城郡能生町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","541","新潟県","中頸城郡柿崎町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","523","新潟県","東頸城郡松代町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","483","新潟県","中魚沼郡中里村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","406","新潟県","三島郡寺泊町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","404","新潟県","三島郡和島村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","384","新潟県","東蒲原郡三川村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","381","新潟県","東蒲原郡津川町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","364","新潟県","南蒲原郡中之島町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","362","新潟県","南蒲原郡下田村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","345","新潟県","西蒲原郡巻町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","344","新潟県","西蒲原郡吉田町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","343","新潟県","西蒲原郡分水町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","322","新潟県","中蒲原郡村松町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","321","新潟県","中蒲原郡小須戸町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","309","新潟県","北蒲原郡紫雲寺町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","308","新潟県","北蒲原郡加治川村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","214","新潟県","直江津市","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","208","新潟県","小千谷市","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","207","新潟県","新津市","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"15","203","新潟県","高田市","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
